Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данько,Олександр,Павлович,Чоловіча,1959-03-13,Геофізик,місто Глобине,"проспект Проїзний 1-й, буд. 2, Краматорськ, 99936",+380 46 219-16-32,martakorzh@example.com
Гресь,Кирило,Павлович,Чоловіча,1999-02-22,Кінолог,селище Умань,"шосе Аеропортівський 6-й, буд. 307 кв. 741, Старий Самбір, 14219",918 42 62,uizhakevych@example.net
Петренко,Павло,Павлович,Чоловіча,1986-01-17,Провізор,місто Ровеньки,"вулиця Шампанський, буд. 965, Суходільськ, 18558",019 310-03-10,vadymzakharchenko@example.net
Іващенко,Веніямин,Анатолійович,Чоловіча,1959-09-22,Петрограф,місто Нова Каховка,"узвіз Канатний, буд. 5, Алупка, 08331",212-89-88,valentynabaranyk@example.net
Гречаник,Симон,Михайлович,Чоловіча,1975-10-25,Підприємець,село Старий Самбір,"сквер Єврейська, буд. 050 кв. 9, Корсунь-Шевченківський, 84741",+380 45 840-05-07,martynlevchenko@example.com
Єфименко,Дмитро,Петрович,Чоловіча,2008-08-28,Ветеринар,село Борщів,"провулок Нерубайська, буд. 02, Саки , 33043",069 917 67 63,dhaidenko@example.net
Дейсун,Мирон,Сергійович,Чоловіча,1940-07-10,Графік,село Яготин,"провулок Дубова, буд. 6, Олевськ, 58077",+380 78 469-93-47,sbandera@example.org
Теліженко,Гаврило,Андрійович,Чоловіча,1961-02-13,Ювелір,місто Кам'янка-Дніпровська,"площа Кільцева, буд. 5, Амвросіївка, 82730",003 951 44 44,wbazavluchenko@example.org
Фоменко,Орест,Михайлович,Чоловіча,1966-08-28,Етнограф,місто Кам'янець-Подільський,"площа Велика Садова, буд. 5, Нова Каховка, 24118",+380 57 748 92 18,tverhun@example.com
Кальченко,Антон,Павлович,Чоловіча,1989-05-04,Кінокритик,місто Глухів,"узвіз 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 07, Верхньодніпровськ, 23323",045 57 86,orkhypkylymnyk@example.org
Демʼянюк,Венедикт,Юрійович,Чоловіча,1974-12-29,Мікробіолог,село Нетішин,"площа Шевченка парк, буд. 90, Кам'янка (Черкаська область), 08810",+380 93 212-33-99,bezditkosolomon@example.org
Пилипенко,Юстим,Олександрович,Чоловіча,1990-12-05,Науковець,селище Дубно,"проспект Восьмого березня 8-й, буд. 889 кв. 43, Виноградів, 42314",+380 37 260 96 77,petliurahordii@example.net
Кибкало,Пармен,Олександрович,Чоловіча,2004-05-18,Мовознавець,село Перевальськ,"вулиця Лесі Українки, буд. 31, Липовець, 59513",947-36-03,ihaivoronskyi@example.net
Наливайко,Августин,Андрійович,Чоловіча,1977-07-14,Математик,хутір Переяслав,"сквер Донцова Дмитра, буд. 339 кв. 9, Бровари, 06323",095 816-19-84,amvrosiiiesypenko@example.net
Деревʼянко,Лукʼян,Юрійович,Чоловіча,2004-02-25,Намотувальник,хутір Рудки,"проспект Нескучна, буд. 6 кв. 4, Петрово-Красносілля, 91744",129-61-74,tychynasemen@example.com
Андрієвич,Пилип,Андрійович,Чоловіча,1961-05-31,Лікар,хутір Рівне,"проспект Марії Демченко, буд. 895, Новоазовськ, 58308",+380 90 693-16-94,teodordashkevych@example.net
Романчук,Валерій,Михайлович,Чоловіча,1949-08-28,Паблік рилейшнз,місто Охтирка,"проспект Слов'янська, буд. 8 кв. 071, Ржищів, 36215",+380 00 940-78-14,sachenkomykhailo@example.net
Журба,Вʼячеслав,Іванович,Чоловіча,1947-01-25,Паралегал,хутір Броди,"вулиця 4-та Суворовська, буд. 820, Глухів, 17750",385 86 76,shvachkovenedykt@example.com
Бараник,Петро,Юрійович,Чоловіча,1959-07-20,Провізор,хутір Білозерське,"площа Світанку, буд. 89, Костянтинівка, 15801",047 727-88-47,fursroman@example.net
Запорожець,Орхип,Павлович,Чоловіча,1996-11-26,Локсмайстер,село Остер ,"шосе Рівності, буд. 0 кв. 865, Долинська, 44873",+380 63 496 12 92,rvernydub@example.com
Забашта,Леон,Михайлович,Чоловіча,1984-06-16,Електромонтер,селище Берегове,"набережна Штурманська, буд. 3 кв. 60, Ізюм, 90936",073 317-88-23,nbakumenko@example.org
Лесик,Тарас,Юрійович,Чоловіча,1980-12-15,Паралегал,село Тростянець,"набережна Балтська дорога, буд. 506 кв. 80, Куп'янськ, 25610",+380 (34) 628-65-14,tymofii51@example.org
Баранник,Віктор,Володимирович,Чоловіча,2000-07-07,Підприємець,селище Скалат,"провулок Пересипська 8-ма, буд. 4, Ходорів, 57536",+380 77 543-50-22,vdovenkosviatoslav@example.org
